datetime,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta,Detroit,Jacksonville,Charlotte,Miami,Pittsburgh,Toronto,Philadelphia,New York,Montreal,Boston
2012-10-01 12:00:00,284.6286797443333,282.085039483,289.47187030833334,281.79568307933334,291.8670099936667,291.535618677,293.4017727743333,296.61333196566665,285.16950326066666,284.6057411103333,289.3107151803333,289.77791371833337,288.30063973066666,290.005261973,286.90501212,286.1881467133333,284.0807010523334,287.42866573833334,283.8937710436667,294.038347865,284.09125130533334,298.2249416483333,288.6502513063333,299.7396990526667,281.037695371,286.264019792,285.68334397866664,288.2648719443334,326.6468619423902,287.19592122800003
2012-10-01 16:00:00,284.621889453,282.11340272775,289.42468136099995,281.77137254025,291.8494918,291.5679903965,293.36476650275,296.68893438050003,285.4324351175,284.581448474,289.42561667250004,290.00024880175,288.42626262625,290.1394385395,287.095813731,286.234064316,284.48421520675,287.53782857249996,284.073232323,294.08560412125,284.434403304,298.53550875274993,288.6516054325,299.851733867,281.24719713449997,286.286962069,285.990864993,288.5250983945,342.20421086736997,287.34562033075
2012-10-01 20:00:00,284.61371590100003,282.1478607325,289.3671825585,281.74183643475004,291.8281275465,291.6074069045,293.32090962425,296.78084962325,285.7500087535,284.55189755225,289.56500854125,290.271419767,288.57333333325,290.30149931225003,287.3268744665,286.289856645,284.9751000445,287.6709351925,284.2833333335,294.1430472195,284.85110509824995,298.9129704595,288.653243397,299.98798091724996,281.50140257174996,286.314871909,286.36533036025,288.8421523665,329.1189685472886,287.527938315
2012-10-02 00:00:00,284.605542349,282.18231873649995,289.3096837565,281.71230032925,291.80676329274996,291.6468234125,293.2770527455,296.87276486599995,286.06758238875,284.5223466305,289.70440041,290.54259073275,288.7204040405,290.46356008500004,287.557935202,286.345648973,285.46598488200004,287.8040418125,284.4934343435,294.200490318,285.26780689275,299.29043216625,288.6548813615,300.1242279675,281.75560800874996,286.34278174900004,286.7397957275,289.1592063385,305.53188668998666,287.710256299
2012-10-02 04:00:00,284.59736879725,282.2167767405,289.2521849545,281.68276422375,291.78539903899997,291.6862399205,293.23319586699995,296.964680109,286.3851560245,284.49279570875,289.84379227875,290.81376169825,288.8674747475,290.62562085775,287.78899593725,286.401441302,285.95686972,287.9371484325,284.7035353535,294.257933416,285.68450868699995,299.66789387299997,288.6565193255,300.260475018,282.009813446,286.37069158925,287.11426109475,289.47626031025004,294.8619219343061,287.89257428325
2012-10-02 08:00:00,284.589195246,282.25123474549997,289.19468615249997,281.65322811849995,291.7640347855,291.7256564285,293.1893389885,297.05659535175,286.70272966000005,284.463244787,289.98318414749997,291.08493266375,289.0145454545,290.7876816305,288.02005667275,286.45723363025,286.4477545575,288.0702550525,284.9136363635,294.31537651450003,286.10121048125,300.04535558,288.65815729024996,300.39672206825,282.26401888325006,286.39860143,287.48872646200005,289.7933142815,371.419310953415,288.074892268
2012-10-02 12:00:00,284.649032541,282.33853912425,289.5407810255,281.89803801975,292.3015057975,292.54760940475,293.95822316475,298.04276589200003,287.71295494325,284.65554079775,291.32886402475003,291.984155444,290.34242424225005,291.19961360525,288.50667611200004,286.7870389385,287.482959093,288.46004250875,285.44060606050004,294.526729419,287.13436841349994,300.85172593,288.64469288174996,300.566953678,283.2423364805,286.827266905,288.5072877435,290.38305238025,266.6264564050402,288.560815378
2012-10-02 16:00:00,287.8725,289.3225,297.2225,288.9225,300.59499999999997,301.0775,301.9575,306.9525,293.95,288.31,295.9525,298.1975,297.55,295.02,290.64250000000004,289.84999999999997,290.8,291.32000000000005,289.03625,295.22499999999997,290.7075,304.0325,288.865,300.1975,289.525,289.255,293.025,293.10499999999996,317.90940679881976,290.805
2012-10-02 20:00:00,290.5575,298.515,303.23,295.0725,307.09000000000003,303.065,307.875,311.3825,297.8125,290.9275,294.35,300.90999999999997,299.8175,296.8275,293.5675,291.195,290.12750000000005,293.09749999999997,288.125,295.8575,290.61,301.565,289.69,299.36749999999995,289.87,289.19,292.5625,293.4375,337.5039690947558,291.035
2012-10-03 00:00:00,289.3,297.56000000000006,301.4625,293.255,302.9575,299.2925,304.72,307.71000000000004,293.625,286.8675,291.49,297.0475,295.66,294.8725,289.03000000000003,288.625,287.60499999999996,290.52750000000003,286.2825,295.31,287.40749999999997,298.5675,290.43,298.22249999999997,288.1775,286.4675,289.2475,289.0575,330.4053736930991,287.865
2012-10-03 04:00:00,285.72499999999997,291.3225,295.6225,287.87,297.71,294.885,298.43,300.62,290.195,282.8125,290.055,294.3125,292.33625,291.415,283.6825,285.96999999999997,286.75,288.7675,285.04125,294.7975,286.6675,297.8875,292.9125,297.735,287.625,283.9375,288.82000000000005,288.76000000000005,253.38455351339977,286.3225
2012-10-03 08:00:00,284.11,287.15250000000003,292.2975,284.9325,294.485,293.075,296.3925,296.8125,286.8125,282.305,289.26,291.6525,290.85875000000004,288.46500000000003,279.36749999999995,283.7575,286.53499999999997,288.00250000000005,285.15,293.0725,286.2525,297.605,295.1375,297.44500000000005,287.7625,285.08,289.2325,289.3975,402.2489553642299,286.315
