WARNING - Received unrecognized parameter ensemble_download_models_timeout_sec
Running on local machine
Parent Run ID: AutoML_c7e695e1-bf6e-462f-8769-b7b88ed5d61c

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2223)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
        49   RobustScaler RandomForest                      0:00:26       0.1289    0.1288
        50   RobustScaler ExtremeRandomTrees                0:00:28       0.1289    0.1288
        51   RobustScaler ExtremeRandomTrees                0:00:29       0.1288    0.1288
        52   RobustScaler ExtremeRandomTrees                0:00:24       0.1289    0.1288
        53   StandardScalerWrapper ExtremeRandomTrees       0:00:29       0.1289    0.1288
        54   StandardScalerWrapper ExtremeRandomTrees       0:00:29       0.1288    0.1288
        55   MinMaxScaler ExtremeRandomTrees                0:00:26       0.1288    0.1288
        56   MinMaxScaler ExtremeRandomTrees                0:00:25       0.1289    0.1288
        57   MinMaxScaler ExtremeRandomTrees                0:00:25       0.1290    0.1288
        58   MinMaxScaler ExtremeRandomTrees                0:00:24       0.1290    0.1288
        59   RobustScaler ExtremeRandomTrees                0:00:24       0.1288    0.1288
        60   MinMaxScaler ExtremeRandomTrees                0:00:25       0.1287    0.1287
        61   StandardScalerWrapper RandomForest             0:00:25       0.1289    0.1287
        62   MinMaxScaler ExtremeRandomTrees                0:00:25       0.1288    0.1287
        63   MinMaxScaler ExtremeRandomTrees                0:00:27       0.1289    0.1287
        64   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.1289    0.1287
        65   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.1291    0.1287
        66   MinMaxScaler RandomForest                      0:00:26       0.1289    0.1287
        67   RobustScaler ExtremeRandomTrees                0:00:28       0.1288    0.1287
        68   MinMaxScaler DecisionTree                      0:00:23       0.1294    0.1287
        69   RobustScaler RandomForest                      0:00:26       0.1290    0.1287
        70   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.1295    0.1287
        71   RobustScaler ExtremeRandomTrees                0:00:29       0.1287    0.1287
        72   StandardScalerWrapper ExtremeRandomTrees       0:00:29       0.1290    0.1287
        73   StandardScalerWrapper ExtremeRandomTrees       0:00:30       0.1289    0.1287
        74   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1287    0.1287
        75   RobustScaler ExtremeRandomTrees                0:00:28       0.1289    0.1287
        76   MinMaxScaler ExtremeRandomTrees                0:00:27       0.1292    0.1287
        77   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.1289    0.1287
        78   MinMaxScaler ExtremeRandomTrees                0:00:28       0.1296    0.1287
        79   MinMaxScaler ExtremeRandomTrees                0:00:34       0.1291    0.1287
        80   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.1291    0.1287
        81   StandardScalerWrapper RandomForest             0:00:29       0.1289    0.1287
        82   RobustScaler RandomForest                      0:00:26       0.1288    0.1287
        83   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.1288    0.1287
        84   RobustScaler ExtremeRandomTrees                0:00:27       0.1288    0.1287
        85   RobustScaler ExtremeRandomTrees                0:00:27       0.1290    0.1287
        86   RobustScaler RandomForest                      0:00:29       0.1288    0.1287
        87   RobustScaler GradientBoosting                  0:00:25       0.1289    0.1287
        88   StandardScalerWrapper RandomForest             0:00:27       0.1290    0.1287
        89   StandardScalerWrapper ExtremeRandomTrees       0:00:29       0.1288    0.1287
        90   MinMaxScaler ExtremeRandomTrees                0:00:27       0.1289    0.1287
        91   MinMaxScaler RandomForest                      0:00:26       0.1291    0.1287
        92   RobustScaler ExtremeRandomTrees                0:00:30       0.1289    0.1287
        93   MinMaxScaler ExtremeRandomTrees                0:00:25       0.1292    0.1287
        94   StandardScalerWrapper RandomForest             0:00:31       0.1295    0.1287
        95   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.1288    0.1287
        96   StandardScalerWrapper ExtremeRandomTrees       0:00:27       0.1288    0.1287
        97   StandardScalerWrapper RandomForest             0:00:29       0.1290    0.1287
        98   StandardScalerWrapper GradientBoosting         0:00:25       0.1288    0.1287
        99   RobustScaler RandomForest                      0:00:25       0.1289    0.1287
       100   StandardScalerWrapper ExtremeRandomTrees       0:00:30       0.1290    0.1287
       101   RobustScaler RandomForest                      0:00:26       0.1290    0.1287
       102   MinMaxScaler RandomForest                      0:00:29       0.1291    0.1287
       103   RobustScaler ExtremeRandomTrees                0:00:30       0.1288    0.1287
       104   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.1288    0.1287
       105   MinMaxScaler ExtremeRandomTrees                0:00:26       0.1290    0.1287
       106   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.1289    0.1287
       107   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.1289    0.1287
       108   RobustScaler ExtremeRandomTrees                0:00:33       0.1292    0.1287
       109   MinMaxScaler ExtremeRandomTrees                0:00:27       0.1290    0.1287
       110   StandardScalerWrapper ExtremeRandomTrees       0:00:28       0.1290    0.1287
       111   StandardScalerWrapper RandomForest             0:00:25       0.1292    0.1287
       112   MinMaxScaler ExtremeRandomTrees                0:00:26       0.1289    0.1287
       113   StandardScalerWrapper ExtremeRandomTrees       0:00:27       0.1289    0.1287
       114   StandardScalerWrapper ExtremeRandomTrees       0:00:32       0.1289    0.1287
       115   MinMaxScaler ExtremeRandomTrees                0:00:25       0.1290    0.1287
       116   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1289    0.1287
       117   RobustScaler ExtremeRandomTrees                0:00:27       0.1291    0.1287
       118   StandardScalerWrapper ExtremeRandomTrees       0:00:30       0.1288    0.1287
       119   MinMaxScaler ExtremeRandomTrees                0:00:26       0.1290    0.1287
       120   MinMaxScaler ExtremeRandomTrees                0:00:24       0.1293    0.1287
       121   MinMaxScaler RandomForest                      0:00:32       0.1291    0.1287
       122   RobustScaler ExtremeRandomTrees                0:00:33       0.1292    0.1287
       123   StandardScalerWrapper ExtremeRandomTrees       0:00:27       0.1290    0.1287
       124   RobustScaler LightGBM                          0:00:31       0.1291    0.1287
       125   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1291    0.1287
       126   RobustScaler RandomForest                      0:00:26       0.1290    0.1287
       127   StandardScalerWrapper GradientBoosting         0:00:27       0.1292    0.1287
       128   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.1287    0.1287
       129   MinMaxScaler RandomForest                      0:00:25       0.1289    0.1287
       130   RobustScaler ExtremeRandomTrees                0:00:28       0.1291    0.1287
       131   MinMaxScaler ExtremeRandomTrees                0:00:27       0.1295    0.1287
       132   RobustScaler ExtremeRandomTrees                0:00:31       0.1290    0.1287
       133   StandardScalerWrapper ExtremeRandomTrees       0:00:27       0.1289    0.1287
       134   StandardScalerWrapper RandomForest             0:00:27       0.1291    0.1287
       135   StandardScalerWrapper ExtremeRandomTrees       0:00:28       0.1288    0.1287
       136   MinMaxScaler ExtremeRandomTrees                0:00:25       0.1291    0.1287
       137   MinMaxScaler ExtremeRandomTrees                0:00:30       0.1288    0.1287
       138   RobustScaler ExtremeRandomTrees                0:00:29       0.1291    0.1287
       139   RobustScaler ExtremeRandomTrees                0:00:25       0.1290    0.1287
       140   RobustScaler ExtremeRandomTrees                0:00:27       0.1290    0.1287
       141   RobustScaler RandomForest                      0:00:31       0.1289    0.1287
       142   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1290    0.1287
       143   RobustScaler ExtremeRandomTrees                0:00:27       0.1290    0.1287
       144   MinMaxScaler RandomForest                      0:00:31       0.1289    0.1287
       145   MinMaxScaler ExtremeRandomTrees                0:00:26       0.1289    0.1287
       146   StandardScalerWrapper ExtremeRandomTrees       0:00:27       0.1288    0.1287
       147   RobustScaler ExtremeRandomTrees                0:00:25       0.1290    0.1287
       148   MinMaxScaler RandomForest                      0:00:26       0.1293    0.1287
       149   StandardScalerWrapper DecisionTree             0:00:29       0.1295    0.1287
       150   RobustScaler ExtremeRandomTrees                0:00:31       0.1289    0.1287
       151   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.1288    0.1287
       152   RobustScaler ExtremeRandomTrees                0:00:24       0.1289    0.1287
       153   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_c7e695e1-bf6e-462f-8769-b7b88ed5d61c_153/outputs/pipeline_graph.json?sv=2019-02-02&sr=b&sig=lDgZOKFC4i4otKI2o3YjK%2Fi6Rxz4R%2BVugvOpdfoo5Bs%3D&st=2020-10-03T18%3A44%3A49Z&se=2020-10-04T18%3A54%3A49Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
StandardScalerWrapper ExtremeRandomTrees       0:03:07       0.1293    0.1287
       154   MinMaxScaler ExtremeRandomTrees                0:00:27       0.1290    0.1287
       155   MinMaxScaler ExtremeRandomTrees                0:00:24       0.1289    0.1287
       156   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_c7e695e1-bf6e-462f-8769-b7b88ed5d61c_156/outputs/conda_env_v_1_0_0.yml?sv=2019-02-02&sr=b&sig=gm84Y95QAZfKqR0XkNY0DxdkrlClbu0gKoPCAJpdA38%3D&st=2020-10-03T18%3A48%3A47Z&se=2020-10-04T18%3A58%3A47Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_c7e695e1-bf6e-462f-8769-b7b88ed5d61c_156/outputs/env_dependencies.json?sv=2019-02-02&sr=b&sig=lMms75RFghcVEhpIbjXL9J6q%2FcRuZ50bWMNBMn7D7oU%3D&st=2020-10-03T18%3A48%3A47Z&se=2020-10-04T18%3A58%3A47Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
StandardScalerWrapper RandomForest             0:03:13       0.1291    0.1287
       157   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1293    0.1287
       158   StandardScalerWrapper ExtremeRandomTrees       0:00:30       0.1292    0.1287
       159   StandardScalerWrapper ExtremeRandomTrees       0:00:28       0.1290    0.1287
       160   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.1289    0.1287
       161   StandardScalerWrapper ExtremeRandomTrees       0:00:37       0.1294    0.1287
       162   StandardScalerWrapper RandomForest             0:00:26       0.1290    0.1287
       163   StandardScalerWrapper RandomForest             0:00:29       0.1291    0.1287
       164   RobustScaler ExtremeRandomTrees                0:00:26       0.1290    0.1287
       165   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_c7e695e1-bf6e-462f-8769-b7b88ed5d61c_165/outputs/pipeline_graph.json?sv=2019-02-02&sr=b&sig=zbgYa61cKpAKpghR0yVtbLISnThky%2BJ2XJyuw%2BaS1lg%3D&st=2020-10-03T18%3A55%3A50Z&se=2020-10-04T19%3A05%3A50Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_c7e695e1-bf6e-462f-8769-b7b88ed5d61c_165/outputs/env_dependencies.json?sv=2019-02-02&sr=b&sig=luxn0I32Wlfwfl%2BP7Gp8%2BMyOoXDWFSPIIOoAwk7nUAc%3D&st=2020-10-03T18%3A55%3A50Z&se=2020-10-04T19%3A05%3A50Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
